snr_bin,n_transit,n_quiet,model,detect_AUC
3.0–3.2,8,58,persistence,0.584051724137931
3.2–3.3,8,58,persistence,0.7155172413793104
3.3–3.7,8,58,persistence,0.6724137931034483
3.7–4.0,8,58,persistence,0.6120689655172414
4.0–7.4,9,58,persistence,0.5421455938697318
3.0–3.2,8,58,lstm,0.5775862068965517
3.2–3.3,8,58,lstm,0.7586206896551725
3.3–3.7,8,58,lstm,0.7176724137931034
3.7–4.0,8,58,lstm,0.6831896551724138
4.0–7.4,9,58,lstm,0.5881226053639848
3.0–3.2,8,58,transformer,0.5797413793103449
3.2–3.3,8,58,transformer,0.7176724137931034
3.3–3.7,8,58,transformer,0.6745689655172414
3.7–4.0,8,58,transformer,0.6163793103448275
4.0–7.4,9,58,transformer,0.5306513409961686
