model,step,MAE,RMSE,Skill_RMSE
persistence,1,5751.971900463104,8960.062195988829,0.0
persistence,2,6648.273169994354,10602.71045143923,0.0
persistence,3,6153.014302253723,9764.443006241658,0.0
persistence,4,6566.553860902786,10568.133517859007,0.0
persistence,5,6577.970832586288,10221.533103674281,0.0
persistence,6,6617.736220359802,10204.594723327615,0.0
persistence,7,6421.6148853302,9922.485203086348,0.0
persistence,8,7357.190102338791,11626.421201418658,0.0
persistence,9,6290.152966976166,10010.782304710387,0.0
persistence,10,7005.161941051483,11028.561537594996,0.0
persistence,11,6468.707919120789,10239.796048556842,0.0
persistence,12,6809.467524290085,10665.071784978143,0.0
persistence,13,6634.608209133148,10648.958351691896,0.0
persistence,14,6823.8285183906555,10745.432470250276,0.0
persistence,15,6495.966762304306,10275.154693236449,0.0
persistence,16,6815.790086984634,10536.325031582355,0.0
persistence,17,6435.348093509674,9989.892855973072,0.0
persistence,18,6827.879101037979,10957.06767115366,0.0
persistence,19,6716.2007093429565,10263.85581540825,0.0
persistence,20,6660.002619028091,10665.292887236963,0.0
persistence,21,6413.55887055397,10261.228043955576,0.0
persistence,22,6916.503012180328,10863.603410662521,0.0
persistence,23,6424.948573112488,10292.17799104809,0.0
persistence,24,6717.68918633461,10587.876644443217,0.0
persistence,25,6907.715350389481,11197.74805049937,0.0
persistence,26,6555.535644292831,10615.469344915864,0.0
persistence,27,6267.789751291275,9795.073520633585,0.0
persistence,28,6283.4808230400085,9452.236861761756,0.0
persistence,29,6669.8697209358215,10505.254927850341,0.0
persistence,30,6585.238724946976,10595.630290913914,0.0
persistence,31,6661.758273839951,10840.450187655026,0.0
persistence,32,6353.4873723983765,10034.779517493766,0.0
lstm,1,4775.891005992889,7505.75135268597,0.16231035136719396
lstm,2,5341.505706310272,8816.058317300127,0.16850899987527057
lstm,3,4984.596073627472,7998.591532344886,0.18084507972118824
lstm,4,5427.491664886475,8768.055801614875,0.17033071291181123
lstm,5,5376.6776621341705,8553.847960316798,0.16315411068404295
lstm,6,5403.277575969696,8350.749710828335,0.18166767644984527
lstm,7,5194.525122642517,8168.231518733834,0.17679579746884988
lstm,8,5978.109985589981,9579.158317736263,0.17608710782236137
lstm,9,5022.451281547546,8134.94167439967,0.18738202202519927
lstm,10,6004.43571805954,9597.708941279087,0.1297406367492543
lstm,11,5067.280977964401,8424.46838499335,0.17728162308655915
lstm,12,5706.391483545303,8958.602078811371,0.16000545899469254
lstm,13,5698.161423206329,9284.620935275958,0.12811933067605374
lstm,14,5458.6344957351685,8763.535980408002,0.18444083058819072
lstm,15,5481.547564268112,8709.049506842191,0.15241670156315368
lstm,16,5600.699335336685,8952.450995480634,0.15032509260620763
lstm,17,5362.928658723831,8482.222067705301,0.15091961545576715
lstm,18,5501.615554094315,9143.46562952418,0.16551892313343053
lstm,19,5473.5226929187775,8661.825362398748,0.15608466075726735
lstm,20,5343.343466520309,8921.080405507513,0.1635409829032196
lstm,21,5445.950031280518,8937.380283397137,0.12901455409503915
lstm,22,5688.71483206749,9222.735704356537,0.15104267380522085
lstm,23,5302.663445472717,8668.304881612014,0.15777740249425187
lstm,24,5295.55156826973,8431.170286117196,0.20369583352275966
lstm,25,5900.227129459381,9524.4295780669,0.14943348116837174
lstm,26,5678.209364414215,9161.6353618939,0.13695428207498517
lstm,27,5208.535045385361,8142.465059052407,0.16871833152654891
lstm,28,5113.909393548965,7941.676634372671,0.15980981533587368
lstm,29,5393.981337547302,8646.702361824735,0.17691646502536762
lstm,30,5629.64528799057,9166.659369688,0.13486417343678936
lstm,31,5401.395857334137,9178.412873422978,0.1533181081469066
lstm,32,5236.343443393707,8451.72105920855,0.1577571739892688
transformer,1,5745.109021663666,8943.87477761944,0.0018066189737651062
transformer,2,6640.28212428093,10591.15450958705,0.0010899045017882525
transformer,3,6140.70326089859,9751.440556665482,0.0013316120098058049
transformer,4,6570.710688829422,10567.602741286853,5.0224249273256305e-05
transformer,5,6583.266854286194,10224.8770233856,-0.00032714463450855824
transformer,6,6657.318472862244,10280.81644069133,-0.0074693527210318855
transformer,7,6417.631059885025,9931.707964075847,-0.0009294809516704472
transformer,8,7353.101968765259,11575.360460953065,0.004391784847719293
transformer,9,6295.425146818161,10017.712889215598,-0.000692311978650384
transformer,10,7004.617303609848,11038.073519000918,-0.0008624861341615109
transformer,11,6461.292058229446,10232.629518999018,0.0006998703415420637
transformer,12,6813.257038593292,10664.591502547353,4.503321125948201e-05
transformer,13,6629.946082830429,10646.98332114077,0.0001854670180780893
transformer,14,6815.062016248703,10748.447853831873,-0.00028062002994722057
transformer,15,6491.554528474808,10244.142698839649,0.0030181535288430483
transformer,16,6808.280050754547,10526.508257306825,0.0009317076159006676
transformer,17,6474.077552556992,10014.089549860153,-0.0024221174577077065
transformer,18,6820.414364337921,10935.13343775604,0.0020018342549226187
transformer,19,6680.278778076172,10249.298725562247,0.001418286666122981
transformer,20,6662.941575050354,10669.273784653382,-0.0003732572052645988
transformer,21,6441.034972667694,10299.88094422148,-0.003766888339322483
transformer,22,6916.649639606476,10862.38848152144,0.0001118348208374309
transformer,23,6430.753171443939,10293.342337577376,-0.00011312926479711827
transformer,24,6722.97403216362,10561.37691252525,0.002502837236196487
transformer,25,6916.925758123398,11206.698181689206,-0.0007992795649154338
transformer,26,6561.5202486515045,10615.984616897405,-4.853972677043572e-05
transformer,27,6260.308474302292,9793.724950075717,0.000137678451828549
transformer,28,6280.346661806107,9460.87774864808,-0.0009141631777425108
