snr_bin,n_windows,model,MAE
0.0–1.6,80,persistence,6315.408879891038
0.0–1.6,80,lstm,5212.143482640386
0.0–1.6,80,transformer,6314.279581420124
1.6–1.9,80,persistence,5300.919571891427
1.6–1.9,80,lstm,4613.712173886597
1.6–1.9,80,transformer,5302.6528330519795
1.9–2.2,80,persistence,6239.115865901113
1.9–2.2,80,lstm,4797.132918611169
1.9–2.2,80,transformer,6237.375363707542
2.2–2.6,80,persistence,7730.844360776246
2.2–2.6,80,lstm,6345.440051518381
2.2–2.6,80,transformer,7736.425846815109
2.6–7.4,80,persistence,7356.6824197769165
2.6–7.4,80,lstm,6140.667339786887
2.6–7.4,80,transformer,7357.5104819610715
