tag,model,val_loss,val_skill,persistence_val,epochs,n_params,anchor,pool,d_model,n_heads,n_layers,ff_dim,lstm_hidden,lr,weight_decay,batch_size,use_huber,MAE_all,MAE_transit,MAE_quiet
cfg35,lstm,176.1465162031025,0.12280962083353897,200.80762441841128,30,203296,True,meanlast,64,4,3,128,128,0.001,0.01,128,True,0.15732720494270325,0.1614520102739334,0.0029093800112605095
cfg33,lstm,182.89303860776536,0.08921267736985095,200.80762441841128,30,52512,True,meanlast,64,4,3,128,64,0.001,0.01,128,True,0.16363030672073364,0.16793449223041534,0.0024986308999359608
cfg31,lstm,184.465431029325,0.08138233513999937,200.80762441841128,30,203296,False,meanlast,64,4,3,128,128,0.001,0.01,128,True,0.16503570973873138,0.16937686502933502,0.0025188601575791836
cfg39,lstm,187.54195423886836,0.0660615861472571,200.80762441841128,30,203296,True,meanlast,64,4,3,128,128,0.0003,0.01,128,True,0.16795465350151062,0.1723703145980835,0.0026474827900528908
cfg29,lstm,189.01148899128805,0.05874346385645346,200.80762441841128,30,52512,False,meanlast,64,4,3,128,64,0.001,0.01,128,True,0.16923268139362335,0.17368470132350922,0.0025642148684710264
cfg37,lstm,190.44834023415223,0.05158810186745699,200.80762441841128,30,203296,False,meanlast,64,4,3,128,128,0.0003,0.01,128,True,0.17058834433555603,0.17506159842014313,0.0031250929459929466
cfg34,lstm,1040541.7965775833,0.11385604904203117,1174235.6255467322,30,203296,True,meanlast,64,4,3,128,128,0.001,0.01,128,False,0.1572883576154709,0.16135618090629578,0.005003174301236868
cfg30,lstm,1079544.112301066,0.0806409814057355,1174235.6255467322,30,203296,False,meanlast,64,4,3,128,128,0.001,0.01,128,False,0.16237525641918182,0.16657544672489166,0.005134899169206619
cfg32,lstm,1089834.5214404487,0.07187748546377626,1174235.6255467322,30,52512,True,meanlast,64,4,3,128,64,0.001,0.01,128,False,0.16395261883735657,0.16819636523723602,0.005082315765321255
cfg38,lstm,1115071.152565885,0.050385520328000366,1174235.6255467322,30,203296,True,meanlast,64,4,3,128,128,0.0003,0.01,128,False,0.167728990316391,0.17206844687461853,0.005274789407849312
cfg28,lstm,1115329.4619595804,0.050165539441647145,1174235.6255467322,30,52512,False,meanlast,64,4,3,128,64,0.001,0.01,128,False,0.1678905487060547,0.17225395143032074,0.004539843648672104
cfg36,lstm,1134542.2815027914,0.03380355967777704,1174235.6255467322,30,203296,False,meanlast,64,4,3,128,128,0.0003,0.01,128,False,0.1709907352924347,0.1754579097032547,0.003755579236894846
cfg15,transformer,142.12945226575812,0.2922108775630393,200.80762441841128,11,102624,True,mean,64,4,3,128,64,0.0003,0.01,128,True,0.12718994915485382,0.13042043149471283,0.0062517281621694565
cfg23,transformer,142.184843095961,0.2919350372887304,200.80762441841128,11,104672,True,meanlast,64,4,3,128,64,0.0003,0.01,128,True,0.1270189881324768,0.13026279211044312,0.005582708865404129
cfg22,transformer,142.21202735402264,0.2917996626577105,200.80762441841128,14,104672,True,meanlast,64,4,3,128,64,0.001,0.01,128,True,0.12731105089187622,0.13056372106075287,0.005542899016290903
cfg27,transformer,142.23098734807184,0.29170524396168684,200.80762441841128,13,538400,True,meanlast,128,8,4,256,64,0.0003,0.01,128,True,0.12717300653457642,0.13043878972530365,0.004914009012281895
cfg14,transformer,142.2416854907687,0.29165196838149987,200.80762441841128,14,102624,True,mean,64,4,3,128,64,0.001,0.01,128,True,0.12733109295368195,0.13062909245491028,0.0038647030014544725
cfg11,transformer,142.2915157042853,0.29140381936992255,200.80762441841128,11,104672,False,meanlast,64,4,3,128,64,0.0003,0.01,128,True,0.12701813876628876,0.1302206665277481,0.00712695112451911
cfg10,transformer,142.4465094531303,0.29063196745795516,200.80762441841128,18,104672,False,meanlast,64,4,3,128,64,0.001,0.01,128,True,0.1269257813692093,0.13017110526561737,0.005432466510683298
cfg26,transformer,142.5305432719025,0.29021348823429227,200.80762441841128,13,538400,True,meanlast,128,8,4,256,64,0.001,0.01,128,True,0.1275789737701416,0.13084125518798828,0.005450214259326458
cfg06,transformer,142.77448241314391,0.28899869799937006,200.80762441841128,14,102624,False,last,64,4,3,128,64,0.001,0.01,128,True,0.12755493819713593,0.13078810274600983,0.006517951376736164
cfg07,transformer,142.9677016535303,0.2880364873216331,200.80762441841128,14,102624,False,last,64,4,3,128,64,0.0003,0.01,128,True,0.12748520076274872,0.13071386516094208,0.006615830585360527
cfg18,transformer,150.9346963274446,0.24836172548433377,200.80762441841128,21,102624,True,last,64,4,3,128,64,0.001,0.01,128,True,0.13233831524848938,0.1357453614473343,0.004790791310369968
cfg19,transformer,154.00018226412627,0.23309594090289643,200.80762441841128,28,102624,True,last,64,4,3,128,64,0.0003,0.01,128,True,0.13594481348991394,0.1394113004207611,0.006171001121401787
cfg02,transformer,199.70250148989342,0.005503391276693637,200.80762441841128,12,102624,False,mean,64,4,3,128,64,0.001,0.01,128,True,0.17886143922805786,0.1834845244884491,0.005788811482489109
cfg03,transformer,199.88382814390647,0.004600404377972933,200.80762441841128,24,102624,False,mean,64,4,3,128,64,0.0003,0.01,128,True,0.17908523976802826,0.18374718725681305,0.004559346474707127
cfg21,transformer,559416.4042646453,0.52359101351215,1174235.6255467322,7,104672,True,meanlast,64,4,3,128,64,0.0003,0.01,128,False,0.12783795595169067,0.13095183670520782,0.011264512315392494
cfg09,transformer,560415.0861243501,0.5227405182299618,1174235.6255467322,7,104672,False,meanlast,64,4,3,128,64,0.0003,0.01,128,False,0.12774986028671265,0.13093523681163788,0.008499777875840664
cfg13,transformer,560660.1322525019,0.522531832577082,1174235.6255467322,7,102624,True,mean,64,4,3,128,64,0.0003,0.01,128,False,0.12819112837314606,0.13134512305259705,0.010117258876562119
cfg24,transformer,560857.6717252836,0.5223636044391479,1174235.6255467322,13,538400,True,meanlast,128,8,4,256,64,0.001,0.01,128,False,0.1288948804140091,0.13203313946723938,0.011410003527998924
cfg25,transformer,561021.9764567364,0.5222236795996368,1174235.6255467322,10,538400,True,meanlast,128,8,4,256,64,0.0003,0.01,128,False,0.12936967611312866,0.13259799778461456,0.008512887172400951
cfg20,transformer,561212.2757521488,0.5220616173258714,1174235.6255467322,14,104672,True,meanlast,64,4,3,128,64,0.001,0.01,128,False,0.12815073132514954,0.13122759759426117,0.012962982058525085
cfg08,transformer,561709.0218860133,0.5216385794593161,1174235.6255467322,8,104672,False,meanlast,64,4,3,128,64,0.001,0.01,128,False,0.1280430108308792,0.13117726147174835,0.010708161629736423
cfg12,transformer,561936.9388306639,0.5214444813245875,1174235.6255467322,7,102624,True,mean,64,4,3,128,64,0.001,0.01,128,False,0.12805306911468506,0.13122272491455078,0.009392768144607544
cfg04,transformer,563642.8832013056,0.5199916686747861,1174235.6255467322,9,102624,False,last,64,4,3,128,64,0.001,0.01,128,False,0.13062945008277893,0.13378040492534637,0.01266904640942812
cfg05,transformer,563836.6401835012,0.519826661773292,1174235.6255467322,18,102624,False,last,64,4,3,128,64,0.0003,0.01,128,False,0.13171136379241943,0.13503019511699677,0.007465952541679144
cfg16,transformer,688721.677436116,0.4134723368527995,1174235.6255467322,21,102624,True,last,64,4,3,128,64,0.001,0.01,128,False,0.1401715874671936,0.1435307413339615,0.014417069032788277
cfg17,transformer,728665.3549699888,0.37945558871055607,1174235.6255467322,30,102624,True,last,64,4,3,128,64,0.0003,0.01,128,False,0.1385531723499298,0.14185692369937897,0.014872781932353973
cfg00,transformer,1172251.080521573,0.001690073935744496,1174235.6255467322,14,102624,False,mean,64,4,3,128,64,0.001,0.01,128,False,0.18245740234851837,0.18716615438461304,0.006179682910442352
cfg01,transformer,1172717.0313254807,0.0012932619213835705,1174235.6255467322,8,102624,False,mean,64,4,3,128,64,0.0003,0.01,128,False,0.18037384748458862,0.1851184368133545,0.002752552507445216
